Performance,Lost/Won,Conversation Segment,Transcript,Transcript_results,polarity,subjectivity,sentiment,sentiment number
high,lost,small talk,solutions engineer account executive  abroad hey don a  much good how about you  thanks thats good hi client  hi guys how are you  im doing well thanks yourself  good solutions engineer account executive client account executive solutions engineer client  great great happy new year i can still say that its getting kind of late january but account executive  i think its fair game for all of januarysolutions engineer removed    removed  yeah  hi its  fact client client solutions engineer  its funny i think my last three meetings if all started off with that discussion of when the the threshold is on when the when you give that up and and then when its still acceptable client  i figured you could say it if you havent seen someone since the beginning of the year at least through the end of january then then youre moving into valentines day territory so  small talk ends  solutions engineer  besides its not like its an a fence you know you know offensive thing to say so if people do take it the wrong way its probably more on that account executive  yeah client  yeah i dont know how you could take that the wrong way yeah it looks like we have client joined us client  hi hey solutions engineer  sure how are you client  familiar person and good long time noremoved    removed solutions engineer  yeah yeah hows everything going client  great great just trying to get up to speed here but lets do lets do im sure account executive  absolutely well thanks for taking some time to connect with the client and client he received it so we got this call recording i dont know if you guys want a copy of it to share with other stakeholders or if youd prefer if we pause the recording or stop the recording let me know either way and we can adjust client  yeah i know that client was going to try and send im not sure let me just ping him okay lets see  small talk  client  okay i just paying them well see what account executive  sounds good account executive  sure and where are you based client  out of im in city account executive  i love it i love great area client  yeah born and raised so i cant complain account executive  nice which which part of scottsdale you inremoved    removed client  nice yeah thats too funny,"{'polarity': 0.3258658008658008, 'subjectivity': 0.6452801827801828, 'sentiment': 'Positive'}",0.325865801,0.645280183,Positive,1
high,lost,demo,solutions engineer  but but thats what tends to happen with with typical bi applications because thats the only way they have to actually access that data so for example lets take a look at the revenue lets look at it on a monthly basis and lets look at this you know lets actually just look at a particular store removed store number  we want to look at lets just say joey donuts and maybe yeah lets break it down by age group  data drill down ends  client  hey solutions engineer as you as you just went through that how did you how did those dropdown selections come up is that because of prior history or is that are you looking at i dont know what what what created that selection list so if you go back on age group or yeah i dont know if that was one of them,"{'polarity': -0.034567901234567905, 'subjectivity': 0.29012345679012347, 'sentiment': 'Negative'}",-0.034567901,0.290123457,Negative,0
high,lost,pricing,account executive  were willing to spend a lot of money to solve this problem now were coming way down market as well and weve got customers that are starting at a much smaller price point because theyve adopted its like we connect to it in  minutes and theyre off searching and so you can really get going fast,"{'polarity': 0.0824074074074074, 'subjectivity': 0.4064814814814815, 'sentiment': 'Positive'}",0.082407407,0.406481481,Positive,1
high,lost,about company, removed  business users apple there genius bar analytics team is using company asking you know very complex questions of the data so a lot of different use cases but its the same general concept which is ask a question to create a visualization you guys are on this journey right now,"{'polarity': -0.010857142857142853, 'subjectivity': 0.4561428571428571, 'sentiment': 'Negative'}",-0.010857143,0.456142857,Negative,0
high,lost,company product,client  there is a central data services team though that is that does the more traditional data warehousing and id say an removed exited an onprem removed extra data environment account executive  okay client  years of code sort of build up on along on top of that thing but were in the middle of a proof of concept to move all that into removed snapsremoved    removed  nice account executive client  my removed has been good and and a good partner and working with us to try to figure out how easy how hard its going to be to to try to get rid of that removed extra data and and go with the removed snaps okay just got started and i you know im not sure what what whether its going to be deemed successful proof of concept or not  data architecture ends  account executive  got it okay yeah ill talk a little bit about our cdw partnerships as we go throughout the the  minutes here client  if i could show you real quickly and we share hang on one second im find documents i have us just teaching plan that ive drafted and ive been working on and working towards it that i think has been getting some good traction attention and its gotten good good publicity or account executive  be great client  second account executive  while youre pulling that up the dashboard so that your executive team are addicted to today how do you guys deliver those what what bi tool client  there primarily third party vendor okay but still a lot of old s srs but here let this this will help explain a little bit,"{'polarity': 0.2537634408602151, 'subjectivity': 0.5068996415770609, 'sentiment': 'Positive'}",0.253763441,0.506899642,Positive,1
high,lost,customer base,client  but so i have a strategic plan that ive been working on theres sort of a aspiration all introduction thing but in in the middle of this theres theres reallyremoved    removed sort of of three components theres a strategic plan whereas your typical vision principals objectives and the road map in the roadmap is broken down by six major initiatives that ill call modernization and management types of initiatives and like i mentioned met a data and master data or a couple of things that ill probably be taking the lead on here account executive  hi cool client  then introducing data governance you know what does it mean to be an owner steward custodian what kind of committees you know governance you know councils or wherever we want to put it in place and how do we want to manage our assets is kinda going on but then theres the tactical reference architecture section let me jump down to that here  customer base ends  client  spend account executive  the nine months this is thorough client  so this is sort of the gives you a bit of a look at sort of where im hoping to take things account executive  okay client  and this sort of shows you where were at today sort of that current state future state thing that ive been working on,"{'polarity': -0.09851851851851852, 'subjectivity': 0.549351851851852, 'sentiment': 'Negative'}",-0.098518519,0.549351852,Negative,0
high,lost,about company,client  sure account executive  alright client  snameng account executive  okay sounds good let me know can you see my screen here yep okay sweet move some zoom stuff around one second alright so so were actually company were founded in removed we we just had a removed anniversary and as you probably saw in the ebook very much focused on search search types  removed    removed account executive  so our founders came from third party vendor when they founded the company a lot of the tools that you guys using today were already around like there was not a need for another dashboarding tool but the ability to search your data like you would you know hop on third party vendor and ask a question get an answer back that wasnt really available and so we brought search a search bar essentially to enterprise data we pair that with a i driven insights and this is basically as you make searches where you begin to learn whats most relevant to you and over time will elevate those keywords to the top and search ill show you what that looks like account executive  when we hop into a quick demo youll be interested in this because it sounds like youre pretty technical when we first started there was no data warehouse that had the performance to deliver a quality search experience so we actually started with our own in memory database and we call it falcon deployed it account executive  you basically bought as much hardware as a software and we had a very very high performance on premises appliance and works great but we basically were saying hey you you already did all this work in your data warehouse now you gotta move all that into into company just for bi  data architecture  account executive and what were doing today is you can see on the right is now are partnered with all the cloud data warehouses because now theyve got the performance to deliver a great search experience we essentially just live query the data thats in those cloud data warehouses and company is really just a search bar that sits on top now  data management  functions  account executive and so rather than than having to do that data modeling process twice youre doing it once and you can now i mean theres theres a lot of other tools in the space like a data robot for example or whatever else you might want to do on top of that data you dont have to worry about whether its in multiple places about company  removed    removed account executive  and so were just getting you were attacking it where it is normally i dont go in that order but the technology originally led us to a bunch of big customers because add hawk analytics is something that was a challenge for everybody and so the removed so the world and the apples of the world  pricing  account executive  were willing to spend a lot of money to solve this problem now were coming way down market as well and weve got customers that are starting at a much smaller price point because theyve adopted its like we connect to it in  minutes and theyre off searching and so you can really get going fast ,"{'polarity': 0.21750773260555867, 'subjectivity': 0.4472027260179435, 'sentiment': 'Positive'}",0.217507733,0.447202726,Positive,1
high,lost,about company, removed  business users apple there genius bar analytics team is using company asking you know very complex questions of the data so a lot of different use cases but its the same general concept which is ask a question to create a visualization you guys are on this journey right now,"{'polarity': -0.010857142857142853, 'subjectivity': 0.4561428571428571, 'sentiment': 'Negative'}",-0.010857143,0.456142857,Negative,0
high,lost,company product,clientyeah yeah thats the warehouse is it does it need to be a warehouse or does it connect to like you know like for me or s orsales engineerit would if it were third party vendor it would have to be third party vendorokay soyeahweclientsales engineeraccount executivesales engineerwe we can move the data into our proprietary database but thats just not where we see the moremisspellingsor anything go here data architecture ends clientsales engineerclientyeah okay well so that was helpful i know same with quick site im not at the point where im like knee deep in there yet im still busy moving data around so but you know i think this was this was good for me to simply to put it on a map so that when i get to that quick site use case i can put you know decide the two side by side and just make an informed decision i think thats where its gonna that that to me this is the use case i wouldnt try to do anything with replacing removed with company because i cant teach users to think differently about their data and theiraccount executivethats totally right yeah my goal really was just to kind of put this like you said on your radar just so as your as your brain start thinking about potentially use cases you think like yeah maybe company could be a good fit here you know so that that was really my goal i know you guys are hydrating data lakes and doing all that fun stuff and and your knee deep in that soclientyeah yeah i think you know three or four months from now well probably start thinking of alright how do we surface this data to our internal users now this is probably a the timeframe i would be thinking so maybe well catch up thenyeah i think thats perfectokayyeahaccount executive,"{'polarity': 0.2215419501133787, 'subjectivity': 0.3960884353741497, 'sentiment': 'Positive'}",0.22154195,0.396088435,Positive,1
high,lost,wrap-up,clientaccount executiveclientcool alright since im already late for my next meeting guys yep thank you you toothank you byeaccount executiveclientthe end,"{'polarity': -0.15, 'subjectivity': 0.3, 'sentiment': 'Negative'}",-0.15,0.3,Negative,0
