Performance,Lost/Won,Conversation Segment,Transcript,Comp_Score,Pos_Score,Neg_Score,Neu_Score
high,lost,small talk,solutions engineer account executive  abroad hey don a  much good how about you  thanks thats good hi client  hi guys how are you  im doing well thanks yourself  good solutions engineer account executive client account executive solutions engineer client  great great happy new year i can still say that its getting kind of late january but account executive  i think its fair game for all of januarysolutions engineer removed    removed  yeah  hi its  fact client client solutions engineer  its funny i think my last three meetings if all started off with that discussion of when the the threshold is on when the when you give that up and and then when its still acceptable client  i figured you could say it if you havent seen someone since the beginning of the year at least through the end of january then then youre moving into valentines day territory so  small talk ends  solutions engineer  besides its not like its an a fence you know you know offensive thing to say so if people do take it the wrong way its probably more on that account executive  yeah client  yeah i dont know how you could take that the wrong way yeah it looks like we have client joined us client  hi hey solutions engineer  sure how are you client  familiar person and good long time noremoved    removed solutions engineer  yeah yeah hows everything going client  great great just trying to get up to speed here but lets do lets do im sure account executive  absolutely well thanks for taking some time to connect with the client and client he received it so we got this call recording i dont know if you guys want a copy of it to share with other stakeholders or if youd prefer if we pause the recording or stop the recording let me know either way and we can adjust client  yeah i know that client was going to try and send im not sure let me just ping him okay lets see  small talk  client  okay i just paying them well see what account executive  sounds good account executive  sure and where are you based client  out of im in city account executive  i love it i love great area client  yeah born and raised so i cant complain account executive  nice which which part of scottsdale you inremoved    removed client  nice yeah thats too funny,0.9989,0.294,0.041,0.665
high,lost,customer base,client  its like you know people kept saying south now now you refer to as old terms like thats the good part like well i knew that a lot solutions engineer  yeah account executive  that all sounds great but also as you start to get you know further north almost to you know carefree thats a great area to  customer base ends  client  yeah its capital quarter spitting out its just snotty but you know its just me yes im an old town girl all right guys well i dont wanna hold you guys up too much good lets go ahead and get started and you guys are gonna record you said right we are okay thats good,0.9895,0.302,0.0,0.698
high,lost,agenda,account executive  yeah yeah its recording software ill share a copy with you afterwards so lets lets start with some quick introductions im account manager company bandwidth company a little over a year now and we first engaged with name i think prior i dont think hes with you guys anymore but prior to his departure he got me connected with client and then i think kinda right around when client and i first connected with when things sort of tailed off it which is probably when when wayne game you know or at least things started to move with on the wayne front so thats kind of ill give you a little bit more context client as we go but thats just a quick intro from the company side solutions engineer you wanna go  customer base  solutions engineer  sure hello everyone rabin solution engineer on the team based out of denver im also im relatively new to company ive been here about the four or fiveremoved    removed months now but my background is ive been in bi for about  years is client probably knows all too well most recently i was the third party vendor for eight and a half years and so my role is to kind of help account executive and the rest of the account team from a technical aspect account executive  hello hey solutions engineer im snameng dawn and when do you guys mind doing a quick intro client  what do you want to start  customer base ends  client  she was gonna let you call first because i think youll like what are the individual that ill just say yeah im good too or whatever client  okay so yeah i started with the client obviously december third so havent been here long im im coming in as the head of the head head of data visualization so kind of heading up the consumer tools so third party vendor installation so far and obviously then looking at other options you know for what are the other tools that are available and how can we if theyre more appropriate for a certain scenarios im certainly looking into the ai world and how we can utilize that,0.9898,0.138,0.024,0.838
high,lost,about company,client  so thats kind of a bit about me obviously ive been in bi for i dont i honestly dont know how many years but a lot and solutions engineer i have a long history so sorry thanks sir client  and im down and reading im lead data architect for for client and you know just kind of excited to take a look at some different visualization tools and and you know maybe see how how we can expand our our bi capabilities  about company ends  account executive  and six thanks byeremoved    removed client  and windy coffee yeah account executive i was you know part of the earlier conversations that we had is we were looking at visualization tools we we have completely restructured since then so my role now is is i have a team of data engineers were subject matter experts quote to cash side but when i look at this ill look at it for all of our data domains and we work with the business so were kind of the interface with the business and projects them using the tools then i guess things like that so account executive  fantastic so we will thats thats probably starting point  agenda  account executive  well do a quick kind of recap of of you know where we were headed originally on the client front and and then kind of get your take as far as you know how how we reset here and then well jump into the meat of the content which will be a demo overview of the technology  agenda ends  account executive  see so you can see where and how company might fit as you guys are kind of re prioritizing and your goals for  just real quick i know when do you youve seen maybe one demo client or client are you familiar with company at all client i know this will be my first time looking at it  agenda  client  yeah account executive  okay awesome client client  maybe you could point out you know maybe where your tool with excel over those tools im i dont know what the donner shared if you feel the same way kind of that we can understand you know meeting the value add on top of the tools that we already have client  yeah i mean i would im more concerned or im more interested in how it compares to third party vendor but then like alright is there like like it but then also the governance side of it right but like how do we is there a way to integrate it with ablation  fix so can i just said i want to add maybe a little bit of flavor to the conversation so we have third party vendor and i think one of the new things is we have a nation i think were gonna be implementing so itll be helpful as it goes through the demoremoved    removed,0.9979,0.178,0.015,0.807
high,lost,agenda,client  like how how can we like with third party vendor for example we can we can look at like the lineage of of data going into workbooks and data sources into third party vendor through elation and so wondering if theres like similar types of functionality functionality with company there like i said i think itll be a complement to relation but but definitely a a an alternative to to third party vendor  agenda  client  yeah and solutions engineer i know this kind of puts you in an awkward spot but knowing the fact that you have deep insights into third party vendor id really like to hear your pluses and minuses in that aspect so yeah perfect account executive  thats a great starting point so let me do this can everybody see my screen here solutions engineer  yeah we see it account executive  excellent so this is what we pulled together last time around so this is almost a year ago so so fairly dated and i know dont how long have you been with client nowclient removed    removed  for about six months account executive  much okay so you know when we were talking with client these are some of the areas that we were capturing and im gonna go through a couple of slides that i pulled from a you know a presentation that i think name did a long time or several years ago but just to kind of get an update from a tech stack perspective but where thought well i company was you know while we were initially engaged with name and then you know ultimately getting connected with client is the idea of enabling business user specifically and finance with the ability to ask and answer add hawk questions on their own without having to submit tickets to get new dashboards built so a pretty standard selfservice use case and the fact that you already have snow like in place was really the driving factor behind that because we have such a tight tech integration so i dont want to spend too much time on this slide because i think things have updated quite a bit and we can jump into this in more detail going forward you know  agenda ends  account executive  and i think the goal at the time was really this was a very much about getting third party vendor in place so that you can kind of have that underlying infrastructure from an analytics perspective this is the text stack as of  so i would be curious just to pause here real quickly to get your guys his take to see if theres anything extremely meaningful that we should know thats been updated you know over the last two years or if this is still a fair capture of of the architecture,0.9978,0.178,0.007,0.815
high,lost,about company,client  yeah actually were completely redesigning the entire architecture here so third party vendor will be in the picture but it will simply just be a data warehouse in a broader lake house architecture were going to be redesigning our data lake in an s using more open source big data technologies and then leveraging third party vendor for for kind of the the curated data data warehouse component of that architecture  data management  functions  client  so so less data ingest going to write or actually no data ingest going directly into third party vendor from the sources that law land and s were going to be using data bricks and spark to curate data along the data match principal and then taking the final data products that are produced in that process and and putting those in third party vendor and and those are working on were going to be used for analytics and reportingremoved    removed client  perfect and then just just to add onto that data catalogue is is now implemented with the relation so thats what were focusing  agenda  account executive  got it okay that makes perfect sense from any questions on on that piece solutions engineer  no not at the moment thats thats helpful overview account executive  okay awesome and you know again this is all this is going to be new as well but the real thing that got us initially interested interest was around add hawk analysis and so i think what well do now is is transition over to you know who is company what we do but i just wanted to level set there as to as to why there was interested in the first place from a company perspective and when do you feel free to chime in as as you were kind of you know involved in in the later stages of those initial conversations so moving forward were going to give you a quick overview of who company is what we do and then well show you a demo and then ultimately you know the text stack that you just described done still would fit really well with company  about company  account executive  and and well explain wise we here but at a high level company were now just over removed years old we were founded in removed and our founders came predominantly from third party vendor and so when they started the company there are a lot of dashboard technologies available third party vendor which you guys have power bi click etcetera but well wasnt theres the concept of searching enterprise data,0.9979,0.185,0.011,0.803
high,lost,about company,removed    removed account executive  from a technology perspective we have a lot of tech companies that are using thoughts but also based in area happy to provide specific use cases and customer examples that are most relevant for you as we go to that ill highlight here removed has  merchandisers using company these are non technical folks they dont know how to sequel or you you know write sequel code they dont know how to use third party vendor or third party vendor or traditional bi tools but theyre using company to set pricing at a purse per skew per shelf basis and then one of the reasons company was so valuable there is our ability to search data at extreme granularity with great performance at scale apples a little bit different  search types  account executive  theyve got their genius bar uses company to analyze iphone repair data and in some cases theyre asking theyre putting like  keywords into the search bar and asking questions that way too much more complex use case as i mentioned very tight integration with third party vendor you mentioned data bricks  data architecture  account executive  we also have a huge emphasis on them this year from a partnership standpoint company connects directly to either of those cloud data warehouses and allows you to query that data directly underneath the way you guys are setting up your architecture thus far would connect directly to third party vendor for from an analytics perspective and allow those users to ask questions of the data totally a couple more slides just kind of frame what you know the challenge were solving and then well jump into the demo what we found is that as customers like yourselves are making that journey to a cloud data warehouse leveraging you know ease of use the less the city low cost ,0.9948,0.169,0.017,0.814
high,lost,about company,account executive  we still find that about  percent of that data goes unused for analytics and really thats because of the traditional you know dashboard pipeline if you will where as a central bi team you guys have different lines of business that you support they come to you with questions or requirements the team then takes the that data curated cubes agnameates the data as needed from a performance perspective create a dashboard and then deliver that to the business and those dashboards usually well answer any you know anywhere from  to  percent of the question but theres almost always another question and so you kind of have this infinite process of of dashboard creation ill ill pause here real quick i know snameng your new youve got a lot of third party vendor experience though based on what youve seen so far at client does this look a little bit like how analytics runs todayremoved  account executive  we still find that about  percent of that data goes unused for analytics and really thats because of the traditional you know dashboard pipeline if you will where as a central bi team you guys have different lines of business that you support they come to you with questions or requirements the team then takes the that data curated cubes agnameates the data as needed from a performance perspective create a dashboard and then deliver that to the business and those dashboards usually well answer any you know anywhere from  to  percent of the question but theres almost always another question and so you kind of have this infinite process of of dashboard creation ill ill pause here real quick i know snameng your new youve got a lot of third party vendor experience though based on what youve seen so far at client does this look a little bit like how analytics runs todayremoved    removed  industry issues ends  client  im still working into how analytics works today at client but definitely in in any structure thats how it works and it certainly problematic and in that sense but yeah i would say so when he is obviously more closely related to how the business process works today client  yeah and and of course im sure client has some feedback on it but i actually think honestly the queues and agnameates as missing  industry issues  client  i think its the data warehouse and then reports and dashboards are going directly to the data warehouse account executive  got it and when do you where does your team fit kind of of you know would you would your team be in between the bi team and one of these lines of business for or would your team be part of the bi team  industry issues ends  client  yeah my team as as part of the bi team so like like client mentioned were going with the new architecture which is really were trying to move the business out of the data warehouse area right get them at a higher level also some of the work that theyre doing we have they have chateau teams so were currently kind of like evaluating that and trying to see if what we can bring back to bi so so im kinda like that little person those little the bi team person right  customer base  client  i work with the channels i work theyll go to customer like four of our data is mostly third party vendor but it does have we do have like to j bow and some other applications so were working with the business channels and looking at their dashboards and then you know were doing so data management  functions  removed    removed client  ill say sustaining under the current infrastructure and then looking to work with client to start developing what those scheme as a model should look like in our new world which will make it easier for the business to find what theyre looking for and also you know add credibility to the data sources the data that theyre taking into the metrics does that does that  data management  functions ends  account executive  yeah that makes perfect sense done anything that you would add client  yeah yeah no thats exactly right i mean i think you know its always you know even even in our architecture theres always theres always kind of a bottleneck connect cubes and agnameates like were going to have kind of have a like like in this diagram like the data warehouse like is is kind of doing a lot of work here  data management  functions  client  at least in in in our architecture were going to have some flexibility where those cubes and agnameates or or easier to build but but at the same time like to your point like theres always a limitation there  industry issues  client  you cant build in in in in goober cube that has all the answers so so like you end up having a lot of overlap across across those cubes and agnameates and then you know but but but you dont have a way to have like a panacea answer to to all that  data drill down  account executive  got it yeah that makes sense and you know one of the things from a company perspective in youll see in the demo is we really encourage our customers to keep the data at the final screen available so that you can drill down and get to that lowest level of granularity thats relevant to the business industry issues  removed    removed account executive  and so solutions engineer will show you what that looks like but oftentimes you can help eliminate a step or two in the process and really open up its still a curated in terms of youre not just exposing the business to a  different search words so youre curating it in that regard but you dont necessarily have to do a ton of cubic and agnameating name anything youd add on that solutions engineer  really the only thing is that i mean obviously the the agnameating concept is is is done in traditional bi simply because of the the ratio between people that that build content and and the people to consume it you know its its attend to one approach and theyre attend to one ratio and so its almost agnameated by necessity to say look we cant build every individual requirement for every individual user so were going to keep it up or were going to agnameate it up and and and provide you know kind of have a a templated dashboard or report to as many people as we can to cast a wide net and then well provide   filters however many are are needed to let people drill down to the lowest level of granularity that has a performance impact just from a technical perspective but also from a usability perspective it means that people are slower to get to the information that they need and ultimately it means that a lot of times its probably not gonna suit them exactly which gets you into the cycle of okay if im an end user in this doesnt hit this didnt scratch the age that i need from a data perspective now gotta go through that process of making a one off request to someone that actually has the data back and knowledge of the tool knowledge to to give me what i need and of course well go back and forth and back and forth that may take you know hours days et cetera client  yeah one one problem that we we we have in that space and i wanna give like a very specific example but you know obviously it has broader implications is one thing weve never been able to solve cleanly is im in certain types of reporting you need to be able to do things like account distinct  use cases  client  so this makes a lotta sense and marketing reporting like i need to know how many customers ive touched with the email or how many how many first time opens and stuff that that have happened and so as you move up and down the hierarchy like look at a campaign level i want to look at the line of business level that that that calculation of like how many how many unique customers have i connected with,0.9991,0.121,0.027,0.851
high,lost,company product,lient removed    removed  it gets very hard to answer and so kind of where im going with that very specific example is is then that cubes and agnameate section either is woefully insufficient or you have a proliferation of a bunch of different agnameate tables because youre you cant you cant flex up and down the the hierarchy in a in a performance way  data management  functions ends  solutions engineer  blue yeah i mean it it brings on a whole host of client  challenges i solutions engineer  think account executive  so thanks for that adding that color name done as well and i think i want to kind of move forward so we can get you guys into the demo because i think thats what will be really interesting  search types  account executive  but from company perspective just kinda tied off here our goal is to leverage the work that youve done on the cloud data warehouse side and deliver to the business the search bar that allows them to ask questions of the data and then iterate on the fly and we will match your best fit visualization to pair with that search which will show you in a second,0.9368,0.106,0.016,0.878
high,lost,about company,account executive  what we found is this really drives adoption of of bi a good example is removed they had about  people using tools prior to thought theyre using power bi now theyve got over  people in a  monthly active users so it really it really helps drive business adoption,0.8297,0.163,0.0,0.837
high,lost,company product,account executive removed    removed  it also frees up the analysts to focus on less ad hoc you know basic you know answering have questions that come from the business and focus on more complex analytic problems ultimately what that looks like is moving from a you know a static dashboard on the left this more iterative search experience,0.1868,0.077,0.049,0.874
high,lost,agenda,account executive  im gonna stop snameng here because thats thats where well jump into the demo but please any questions while we transition please fire away client  im good so far client  extra seat okay solutions engineer  i think you guys are seeing my desktop now yes alright perfect so that you know as we get into company theyre really two two things to be aware  agenda ends ,0.9686,0.306,0.054,0.64
high,lost,company product,solutions engineer  and frankly i dont think that we move the needle very far within that i mean obviously theres still the same kind of concept to me the the true value proposition of what thoughts its bringing to the table is to be able to search data and as we get into the search if you think about it there is a tangible cost around creating a dashboard or creating a canned report even just a simple cant report,0.8519,0.141,0.0,0.859
high,lost,pricing,solutions engineer removed    removed  its gonna that cost is going to vary in terms of time effort resources actual dollar amounts in various forms but ultimately i take a step back and think okay out of  queries or  requests for data on a daily basis how many of them actually warrant that effort solutions engineer  you know how how many actually make the the juice worth the squeeze because a lot of times its an elephant going for mosquito type of problem because people just simply want to know something very simple where theyre not going to need to monitor that over time they just want a simple answer to get them through the next five minutes of their day and then never again,0.5346,0.087,0.028,0.885
high,lost,demo,solutions engineer  but but thats what tends to happen with with typical bi applications because thats the only way they have to actually access that data so for example lets take a look at the revenue lets look at it on a monthly basis and lets look at this you know lets actually just look at a particular store removed store number  we want to look at lets just say joey donuts and maybe yeah lets break it down by age group  data drill down ends  client  hey solutions engineer as you as you just went through that how did you how did those dropdown selections come up is that because of prior history or is that are you looking at i dont know what what what created that selection list so if you go back on age group or yeah i dont know if that was one of them,0.886,0.094,0.0,0.906
high,lost,demo,client  but this click back and so what whats generating that list right there solutions engineer  thats a great question i probably kind of skipped over that too fast this is well let me start by saying this is a live connection were always going to connect live against a third party vendor instance that has about one point removed of data in one of the fact table so its its not the largest amount of data but its certainly not trivial to say the least what we do is we this list is generated by two things since its most recently and theres a an engine behind the scenes that kind ofremoved    removed goes across what your own personal searches but also whats common off the platform solutions engineer  and its its always learning if you will the second thing is keystroke for keystroke so as we start to you know type in f its gonna do an automatic search against the index for hey frozen spinach friday yeah and as it starts to add the l its gonna go state flowers et cetera so this is indexing not just the columns within the database but also be individual values within those so the list of products the list of cities removed stores et cetera client  okay and im sorry one other quick question when you say its against the database so this is did you select a particular database or is it broader than that,0.9786,0.112,0.006,0.883
high,lost,demo,client  are you saying here is here is client third party vendor which has a number of different tables in it do you select that somewhere or i guess i want understand what great what level are we at here is this a single table solutions engineer  good question so what company is doing is before you actually execute any search youre going to set up the concept of what we call a worksheet  data management  functions ends  solutions engineer  think of it as a data source think of it as a a universe if you will its basically the four walls of the sandbox i had already had this one selected this one just called retail sales but that being said if you start with nothing it will start to do the search across various ones and you notice that let me see lets do this again you notice that it saying store state in retail sales okay so that retail sales the worksheet and how do we started with nothing you would have said hey we found state and retail sales we found flowers in a worksheet x et cetera  data management  functions  account executive  okay solutions engineer but i thinkremoved    removed client  they could join across data sets are these worksheets solutions engineer  you can every query or every search is going to go against one individual worksheet but there are ways to federate that at the at the live board level at the dashboard level client  okay is that like a mapping that we would set up then inside the application solutions engineer  thats correct yeah so basically the step one would be to set up the worksheet so then it has the appropriate tables and im shared i think i forgot one question that you had which is this retail sales model this retail sales worksheet has i think thats six different dimension tables and two fact tables and im happy to to open that up and we can we can show you what that looks like  data management  functions ends  client  i mean maybe continue on with this but i would love to see kind of the the premium yeah pre steps to get into this place account executive  yeah totally totally great point solutions engineer i think lets lets so right now solutions engineer is kind of showing the end user experience so lets get lets do that it kinda show him a few more things you name then lets show them under the hood connected to third party vendor and how they would create a worksheet solutions engineer  yeah of course and client i think did you have another question client  no no im good solutions engineer  okay well so what ill do is ill show you a couple of things here data drill down  removed    removed solutions engineer  and then as account executive said well well get into the back end but if you think about whats going on and i mean to get a user is going to look at a very specific type of question right costa mesa store jelly donuts et cetera that process of getting to that from a pre canned report or pretend dashboard where you got your your  or  filters on the top or the right hand side the difference with company is theyre just literally typing it in they dont have to go through that series of filters you know weve seen this a lot even just like you know manufacturing example where theyre a  skews right,0.9976,0.164,0.024,0.812
high,lost,demo,solutions engineer  and people who are looking for a very specific element of of the data right rather than having to go through three four levels of filters you just type it right in and so this this idea of search is something that everyone understands universally because were on yelp or on third party vendor raw on third party vendor throughout the day we just type in really the key pieces of information that we need and then company is going to translate that into the sequel so every search that you execute youve got the ability to see the underlying sql if you wanted to obviously you dont have to but this is kind of a sanity check to say yeah this is pretty much exactly what i would hope its gonna go against versus just kinda trusting it will you know blindly if you will  search types ends  solutions engineer  but the other thing is that that thats also different is every bi tool historically relatively speaking notice fairly easy to use its drag and drop well the problem is you need to know what to dragon what to drop and that can sometimes be a limiting factor its not the the technology itself,0.9443,0.128,0.049,0.823
