Performance,Lost/Won,Conversation Segment,Transcript,Comp_Score,Pos_Score,Neg_Score,Neu_Score,sentiment,sentiment number
med,lost,deployment options, data architecture nameclient to ship to ship this point though have you done any benchmarking to compare performance in memory versus directly pulling data out ofsales engineer we have them we do when you know whenever we bring on a new technology as a new connector and we do have a strong partnership with database that we worked our into engineering teams to develop that and to make sure that you know when you go through the connection screening thoughts by you choose which cloud data warehouse which data source youre choosing and when you choose thatremoved  removedspecific one it is engineered to change the way we actually write the sequel queries behind the search behind the question youre asking so it is optimized based on the delta like implementation of sequel to your point you know in that performance testing in memory will be faster its i mean you just cant beat in memory thats kinda the whole point of the memory but its not orders of magnitude faster i mean were still talking to a matter of seconds response time from from delta lake and when youre asking those questions and there are different configurations in tuning that we can do on both sides as youre continuing to load more data and as were getting up to the removed of garden said to make sure that those queries are still behaving in a fast response data architecture ends client right so i tap that point i think one of the things then we would be looking at or proof of concept you know for the same effort is to choose you know dataset that actually you know isnt the billions of records so that you know as you said when we move we would go to production with this,0.8308,0.04,0,0.96,postive,1
med,lost,pricing, pricing client we dont want to get surprised you know while it works great for a number records but not so not so good for removed so this would be something wed want to prove out with the psc as wellaccount executive under percent and grow,-0.4274,0.101,0.137,0.763,negative,0
med,lost,pricing,client right so i tap that point i think one of the things then we would be looking at or proof of concept you know for the same effort is to choose you know dataset that actually you know isnt the billions of records so that you know as you said when we move we would go to production with this pricing client we dont want to get surprised you know while it works great for a number records but not so not so good for removed so this would be something wed want to prove out with the psc as wellaccount executive under percent and grow,-0.4274,0.047,0.063,0.89,negative,0
med,lost,onboarding, onboarding process account executive and as we get closer to building out what the plc looks like and scoping it together we can certainly identify what are those top criteria that this needs to we need to prove out to make sure this is a success when were talking about scale with company,0.8934,0.213,0,0.787,postive,1
med,lost,company product, use cases account executive that would be fantastic grand i know weve discussed for the sake of the proof of concept and inventory management use case that was top of mind and timely is that still the case and if so can we you share a little bit more about thatclient in inventory in terms of its availability in the in the day like is is not there thats something that we have in process data management  functions client something were working on there are a number of tables that we need to bring in put it into our process layer and ultimately build a model and are prepared layer so at that point then we could circle back into the process layer and make it available for data like for the purpose of the po si data transfer client however we can we can do something that were doing in the interim which is to take from whatever sql servers databases which as snapshots of our inventory which basically has the kind of the pretty much the final set of data that were going to any way build only one from our native assets sql tables so basically simulating what would we have at the end of the day after we do all of our data engineering so and we do we need to do that anyway in order to pull the data in for historical snapshot so so that would be that would be our approach there use cases client but makes it easy there is that basically its one one big table that has everything already altogether so for the purpose of a plc we spend less time data modeling and more time getting and user feedback we also have some requirements from the team where theyre very interested in being able to take inventory data and combining it with forecast or demand or inventory you know comparing a supply forecast the demand forecasts data management  functions clientremoved  removed so these are all the other data sets that were building up but step one is getting access to core inventory data and that would again that would be our approach is to leverage what weve already built out pull that in and be able too you know show how it can be much easier to analyze the data that the business is used to using it instead of having to go and grab the data export it create more dashboards and so forth data management  functions ends client of course were were looking at a very much from an end user point of view i wanna make sure however that from an install point of view firms getting is up and running in terms of being able to get the approvals to do that were all on the same page so that way you know as long lead time so that once we get the business interest of this we dont want to put them on pause for six months you know its important that we are you know able to move quickly once once we all are on the same page data transfer sales engineer and is that the process today client you said they have to download data to an excel file and do some kind of shaping a modeling themselves and then upload that back to build a dashboard on top of itclient sure because what we have right now and our sql database is not something that they actually query and build the build anything and they have to move it to another place data transfer ends client you know its just basically a you know a  year old not even the day like its just a bunch of tables that are out there that they can query against and move them someplace else so its not very user friendly so what happens is and its happening all over the company people in the data thats a good place together data management  functions client they grab it they build their own little mini mini data towers and they go to work and then we have this proliferation of data models and no central us already or control so the idea here is now that we are building a video we do this from the etl and we have the flexibility to give users and easy way to kind of do what theyreremoved  removeddoing right now without having to do a lot of data modeling so thats what we want to prove out our plc dont go through that use a tool like this and quickly be able to to to do what you need to dosales engineer got it okay and that that one big table i mean can you defined big for me just logging scaryclienti dont have a row row count on this but i can get back to you on thatsales engineeri mean do do you know how wide it is as wellclientits pretty its pretty big i mean youre talking about youll be talking about all of the all of the inventory across you know the entire world i mean we have tens of thousands of skews we have you know many suppliers we have you know many manufacturing facilities you know distribution centers its a camp very complex network sosales engineer okay and so this is the table then that moving from the process so the prepared layer is kind of d normalized into a relational structure with the with the keys and relationships between them data transfer client well i mean this table this table is already done because this is are all kinds of sql environment its already been kind have theres already a process in place that when the month and take that take all that data create a snapshot of it and save it off into another place thats what were talking about here data management  functions client wed be kind of replicating that and and client by taking the native tables pretty much not adding a lot to that but just creating a a method going forward thats more sustainable and also being able to combine it with other data sets so but were not there yet to to be able to use that final end model for inventory but we can leverage what weve already builtremoved  removed okaysales engineersales engineer use cases  and i imagine given the size and scope of that table does contain all the different data elements that would be a part of any question and then use or would haveclient  operational inventory analysis yes okaysales engineername i have one question regarding the performance metrics what we talked about right data architecture name so since the compute and the data store is going to be data breaks the performance metrics is mobility clue what name has set right so what im trying to understand is is there any specific performance metrics company has to offer here because the computer is going to be on client the data is already organized on totally prepared as the platform is coming from the performance most of this off most of the tools or the bi tools right they have a computer engineering and the performance indicator is based on that but when you say that company has a performance indicate when you mentioned that youre compared with other tools i feel that theres more related to client with this the data store as of now versus the company software itself is my understanding right search types sales engineer youre talking about pure compute and processing time yes oftentimes when were talking about performance and speed as well were talking about speed for an end user to get the answer to their question as well so its and also i mean just to what client was just talking about about trying to reduce the proliferation of data across the enterprise and trying to kinda reduce those data silos that exhibit or that build up over timeremoved,0.9983,0.082,0.011,0.907,postive,1
med,lost,company product, data architecture sales engineer i mean when youre having to do data extracts and put things in cash and different bi layers to enable performance on those its its a bit of an extension of that so were were very specifically designed it because we knew our customers were wanting to stop that and they did not want to have another caching there because frankly thats what the in memory database was for all intents and purposes in south,-0.3447,0,0.044,0.956,negative,0
med,won,company product,sales engineer alright so what im gonna do now is sort of switch gears and say when you have a quick you know what happens when you want to start so if you have to connect to third party vendor and get to the table and you know ive done something again keep in mind i think about what are we going to have in in this environment it just one table because the the way it was described as youd like to have feature ready datasets right in in client  so in that situation how am i going to go through it i pay to connect i say add a connection so let me just stop go back again for a second data architecture sales engineer all this way you know as i was going to and had all of these options in here that we didnt focus on that we focus on the end user experience im clicking on data if you go from data you of course you all the different objects tables columns and all of that and you click on embrace embraces that capability to connect to data rightremoved   removedthe rulessales engineer data management  functions sales engineer data management  functions sales engineer and and show you how to get the new data sets select the tables and columns that are interesting to you and then go from there so you can add a connection and im gonna call this as a signal i just dont have a new set science im just gonna use that data architecture sales engineer and im gonna say hey let me its a third party vendor environment you know if you have additional ones but here its really third party vendor because it will keep one again from third party vendor perspective we could be using a lot to to connect or you could use a service account im gonna use a service account here data architecture ends sales engineer but what ideas if you want users to have their own log ins and third party vendor and that can drive it that way you could always do that right so im gonna go in here im gonna use the company account im gonna just quickly put my credentials andand in this case im gonna use the cmo down balance right and so so this way ive now got ive said he was my connection parameters to the third party vendor environment and so im not off the second step to right is hey based upon this what tables you need from an atf analysis right so in our case i forget the table name rather than i can correct me on on that name i couldnt scribbling down quick enough yesterday when youre talking about the the name of the table but the ideas that i have this you know i can go to all the different environments in this case im going to go into the retail about environment and then data i have three tables im gonna use so ive got a fact table and a couple of we mentioned that again and dangling from the more complex data data modeling aspects of it because youre gonna have they said the posts that you will have taken that clientis to use featured any data sets but hed be support really complex scheme as behind the scenes right you could have multiple fact tables chasm traps you know fan traps things like that where depending on where youre like youre coming down you get some information need to aggregate the aggregate things like that we support lotsremoved   removedof complex scheme us but here im going to select the fact sales table right i could select individually columns that i want or because youre going to have another level of potential obstruction above this you can just select all the columns right so this way if someone has say hey i know that the information was in that table you could just get to that whenever you what you wanted an company ill also do the same thing for the retail stores the dimension tables for stores data architecture client good question yeah with regards to the architecture yeah so once we get the data out of third party vendor right is the data stored when we do the visualizationsales engineer great question the actually dont store the data but then company right the data is all based in third party vendor beach what all we have is the method data off your cables and third party vendor and when you when you query that is that only that is outside is coming in staying and invested in in memory for the duration of your okay visual representation the data set was not being stored in company you want to leave it down and third party vendor right imagine how much i forget what the number was was it removed in this particular table right,0.9967,0.098,0.014,0.888,postive,1
med,won,pricing,client  that are quite many of those numbers yeahsales engineer right i think i yesterday i sent a note out late at night or late in the evening about that  columns maybe  goes you really dont want to replicate all of that in store that in in a bi tool right pricing ends sales engineer its gonna it doesnt make sense data we used to have in memory engine right but that thats not what i was trying to do and whatnot a lot of customers want to do that thats why we actually dont try to bring it in anymore data management  functions sales engineerremoved ,-0.2502,0,0.03,0.97,negative,0
med,won,next steps,client  so we dont know how to move would forwardclient so rough estimate of when this all can be the results lets not do you have anything in mindremoved   removedclient i have no idea im sorry okay so friday we have a meeting right guys i doors off definitely todays meeting maybe early next week or by the end of next week im hoping that it can be done but again not sure cool anything else and one secondcompany employeeclientthe end,-0.3476,0.062,0.091,0.847,negative,0
med,won,small talk,hey csm hows it goingokay you hear me small talk clientcsmtranscriptwe are constantly working to improve the quality of our english transcriptions as is the case throughout the industry its not as accurate as our english transcriptionsclient yeah i can hear you hi can you hear mecsmyeah thats right manclienthello hello hows the weather wherever youre locatedcsmcity is rainy today and its sixtiesclientso sweet alright yeah not too bad how about you well im looking at heavy sleep here at teen in citycsm okay do you ever do you ever end up in cityclient well i went to school at city mistake okay yeah thats fine just my picture and see itremoved   removedyeah stateno rushcsmi know its wednesday that any plans for this weekendclientyeah depends on whether whether the whetheryeah he saidcsmcsmcsmcsmwe just moved to city and theres a theres a place called the national whitewater center its like one of the largest manmade rivers in the us theres where the im not sure if its the olympic kayaking team if youre such a thing but they they train their so im looking forward to learning my new my new thing this year is to learn a white water sports sports yeah soclientcsmclient  kinds of support either kayaking raftingcsm i have a good working kayaking lets see what you mean white water sports lets see why so so guys the quick question is how many white water sports either through as kayaking rafting stand up paddle board onboarding process csmremoved   removed im curious like body surfing or something thats a good question alright alright i think we got a for almost full house or previous company employee retouch okay anyone else from the from the fdr sideclient potentially we might join us but we can proceed we can go ahead okay coolcsm customer base csm so we we are on the company side and augmenting bringing in a team members i want to introduce retouch name who will be the i dont know what the destination is retest for this account are you the designated supported reliability engineer orsystems engineer  yeah ill ill be moving forward customer base ends systems engineer ill be working with the with the team in the interim i believe for the next couple of months here as the reliability engineercsm yeah retention is awesome so im glad hes on board thanks for tests and then per been i know your internet is unstable have you guys met small talk client yeah yeah yeah okay hi my connections im dropping once in a while yeahcsm prevent from the engineering side is on the team company employee you know hey company employee just my check in through there until well i think hes busyclientremoved   removed no im here im sorrycsm drinking coffee yup yeah and then csm ive invited for today small talk ends csm what i want to do csm back is one of our company senior im not sure exactly your title csm but i think its like something negotiate with himcsmcsm technical okay there you go i wanted to to tackle csm youre a little early thats good i wanted to tackle the multi tendency question so we have a ticket outstanding just to to level set multitenancy company is not supporting clear logical segregation of content like sites you know any possible ways authorized content based on groups and then i can read the text here but i i went over this with csm yesterday raj or sit are you able just provide a little high level i dont hopefully this doesnt change any but you let me knowclient yeah so the requirement for us is as we all know that we are onboarding removed start with them be one is also on a priority right now because they have some contractors in one which is spending and they dont want to do it and so on and so forth,0.9973,0.165,0.045,0.789,postive,1
